level_0,index,id,text,time,labels
820,820,498280126254428160,"Mike Brown was staying with his grandmother for the summer , who lived in the community . #Ferguson",2014-08-10 01:30:14,1
4517,2545,498280730070622209,"People in the street shouting "" No Justice , No Peace "" and blocking a Kinloch police car from passing . #Ferguson HTTPURL",2014-08-10 01:32:38,0
2916,944,498281104865259521,Rest in Peace Mike Brown . #Ferguson,2014-08-10 01:34:07,0
5568,3596,498281812821803008,The crowd has forced the police car to reverse . #ferguson HTTPURL,2014-08-10 01:36:56,0
3014,1042,498281886603411456,"America : Where an unarmed black teen gunned to death by the cops is n't seen as a victim , but a white kid on a shooting spree is . #Ferguson",2014-08-10 01:37:14,0
2425,453,498283038338711552,They 've brought the dogs out in #Ferguson HTTPURL,2014-08-10 01:41:48,0
5388,3416,498283233982025728,"An unarmed 17 year old kid shot 10 times & once in the HEAD ? ! ? ! Not sure how you can "" spin that "" . #Ferguson",2014-08-10 01:42:35,0
3526,1554,498283586425200640,#Ferguson Regardless of what color you are ; the militarized police response here is BONECHILLING HTTPURL,2014-08-10 01:43:59,0
4304,2332,498284302128668672,#Ferguson police have brought dogs into neighborhood . Residents protest with hands in the air . Tension is growing ... HTTPURL,2014-08-10 01:46:49,0
4480,2508,498284334806495233,Things are getting very tense in #Ferguson . HTTPURL,2014-08-10 01:46:57,0
5280,3308,498284429333524480,"Someone remind me what year it is again . Cops shoot unarmed young man then bring the dogs out to "" handle "" the crowd . #Ferguson #MikeBrown",2014-08-10 01:47:20,0
5432,3460,498285405142540289,"Right now in #Ferguson , MO following the killing of 17 - year-old #MikeBrown HTTPURL",2014-08-10 01:51:12,0
2474,502,498285529704976385,The only reason those cops have n't gone all Selma on the people in #Ferguson is because the cameras are rolling . That 's it .,2014-08-10 01:51:42,0
5028,3056,498285556502372352,"Rest in Peace , Michael Brown . 17 forever . #Ferguson HTTPURL",2014-08-10 01:51:49,0
2936,964,498285782512050176,Awful . RT @USER #Ferguson Police have dogs and shotguns . The unarmed crowd is raising their hands . HTTPURL,2014-08-10 01:52:42,0
3246,1274,498286045843435521,Black people die 2 deaths : 1 ) by public execution & 2 ) an assassination of their character to justify the murder . #Ferguson #MikeBrown,2014-08-10 01:53:45,0
5730,3758,498286202077085696,They broke out the terrorist response gear for citizens in #Ferguson protesting cold blooded police murder . Are we still in America ? ?,2014-08-10 01:54:22,0
3573,1601,498286281894682624,What year are we in again ? This is looking like the 50s #Ferguson HTTPURL,2014-08-10 01:54:41,0
5496,3524,498286918011224065,"The police in #Ferguson are using military suppression tactics on unarmed civilians . That 's not law enforcement , b .",2014-08-10 01:57:13,0
3000,1028,498287166909579264,Situation in #Ferguson getting very tense after police killed unarmed teenager Mike Brown ( photo : @USER ) HTTPURL,2014-08-10 01:58:12,0
3601,1629,498287947301814274,Police dogs snarl at a crowd of mourners in #Ferguson . They are mourning the killing of another teenager by police HTTPURL ”,2014-08-10 02:01:19,0
5635,3663,498289596463980544,Someone please remind me what year it is again ? #ferguson HTTPURL,2014-08-10 02:07:52,0
4533,2561,498290802255466498,Crazy RT @USER : Someone please remind me what year it is again ? #ferguson HTTPURL,2014-08-10 02:12:39,0
2248,276,498291267756130305,"The cop who shot #MikeBrown is on paid leave . Shoot a black kid , get a paid vacation . #WeAreTargets #Ferguson",2014-08-10 02:14:30,0
2883,911,498292200955195392,The police have come into the community with dogs . #ferguson HTTPURL,2014-08-10 02:18:13,0
2479,507,498292317296812032,Cops gun down a 17 - year-old in front of you & lock down your neighborhood with scores of armed cops because THEY feel threatened #Ferguson,2014-08-10 02:18:40,0
4518,2546,498292602861400064,Never forget the original relationship between the police and blacks ... #wearetargets #Ferguson HTTPURL,2014-08-10 02:19:49,0
2348,376,498292628455034882,#message RT @USER : Someone please remind me what year it is again ? #ferguson HTTPURL,2014-08-10 02:19:55,0
5297,3325,498292732159619072,Ferguson Police have dogs and shotguns . The unarmed crowd is raising their hands . #ferguson #fergusonshooting HTTPURL,2014-08-10 02:20:19,0
4035,2063,498293625420148736,RT @USER : Never forget the original relationship between the police and blacks ... #wearetargets #Ferguson HTTPURL,2014-08-10 02:23:52,0
136,136,498293668655423488,Every 28 hours a black male is killed in the United States by police or vigilantes . #Ferguson,2014-08-10 02:24:03,1
4914,2942,498294248488574976,"The #Ferguson chief , the County chief , County prosecutor , and @USER need to reach out to the family and promise justice TONIGHT .",2014-08-10 02:26:21,0
673,673,498294367405477888,Unarmed teenage black boy #MikeBrown was shot ten times by a #Ferguson police officer for accusation of shoplifting HTTPURL,2014-08-10 02:26:49,1
315,315,498294764718915586,White man aiming down on police ... nothing happens . Unarmed black kid walking back from store shot 10 times . #Ferguson HTTPURL,2014-08-10 02:28:24,1
3059,1087,498294775649665024,Reach RT @USER Someone please remind me what year it is again ? #ferguson HTTPURL,2014-08-10 02:28:27,0
3440,1468,498294815579467777,White man with gun * goes * to Target . Black kid without gun * is * the target . #Ferguson,2014-08-10 02:28:36,0
2352,380,498296205777326080,"People are angry , frustrated but peaceful tonight in #Ferguson . The police dept 's heavy handed approach made things worse . Leaving was good .",2014-08-10 02:34:08,0
2582,610,498297336968515584,Dear mainstream media : The story is not the protest . The story is the police shooting of an unarmed black teenager . #Ferguson,2014-08-10 02:38:37,0
4827,2855,498298040881782785,Dogs ? In 2014 ? #Ferguson RT @USER : Right now in #Ferguson MO following the killing of 17 - year-old #MikeBrown HTTPURL,2014-08-10 02:41:25,0
2601,629,498300128088694786,"NOTICE : 0 evidence of "" kill the police "" chant in #Ferguson but all news outlets report it , yet pics of lifeless victim ? "" Alleged shooting . """,2014-08-10 02:49:43,0
3740,1768,498300256678076417,Police are leaving now . #ferguson HTTPURL,2014-08-10 02:50:13,0
3549,1577,498300832648273920,Protestors at the #Ferguson Police Dept . HTTPURL,2014-08-10 02:52:31,0
2116,144,498300897051807744,"Michael Brown , unarmed black teen killed by police in #Ferguson was set to start college on Monday . @USER : HTTPURL",2014-08-10 02:52:46,0
3790,1818,498301635756838912,Protest at #Ferguson police dept right now HTTPURL,2014-08-10 02:55:42,0
4729,2757,498301902048997377,It 's messed up when cops can shoot unarmed Black teen yet White people can walk around Target with AR - 15 ' s ! #Ferguson,2014-08-10 02:56:46,0
2893,921,498302254190166016,Protestors outside #Ferguson police department headquarters right now HTTPURL,2014-08-10 02:58:10,0
2120,148,498302603034640384,Do n't live in #Ferguson ? Call the Police station leave Chief Tom Jackson a message 314-522-3100 ext #5588 or tweet @USER #MikeBrown,2014-08-10 02:59:33,0
3929,1957,498302874531553280,"Unarmed teen killed by cops is n't the headline but calling black people "" ANGRY MOB ! "" is , that tells you everything about the media #Ferguson",2014-08-10 03:00:37,0
2637,665,498303288295817217,#WeAreTargets RT @USER : Someone please remind me what year it is again ? #ferguson HTTPURL,2014-08-10 03:02:16,0
4489,2517,498303769915191297,At the #Ferguson police dept headquarters HTTPURL,2014-08-10 03:04:11,0
5411,3439,498303921430204416,""" He threw his hands up and they shot him . The boy fell and they shot him some more . "" HTTPURL #ferguson #mikebrown",2014-08-10 03:04:47,0
3880,1908,498304114955419648,"Protest continues in front of #ferguson police dept "" the people united , will never be defeated "" #FergusonShooting HTTPURL",2014-08-10 03:05:33,0
1912,1912,498305825341845504,Teenager #MikeBrown wo n't start college on Monday because he was shot ten times by a #Ferguson police officer . HTTPURL,2014-08-10 03:12:21,1
4673,2701,498305851828879368,"The killing , the militarized police response , the coverage . How many more ways can you say "" Your lives hold no value "" ? #MikeBrown #Ferguson",2014-08-10 03:12:27,0
2483,511,498305962726273024,I 'm in #Ferguson and the witnesses are telling a chillin story . This young man was truly executed .,2014-08-10 03:12:54,0
3721,1749,498308585227431936,This is not okay . #Ferguson HTTPURL,2014-08-10 03:23:19,0
3953,1981,498310006169538561,I can't stomach another #justicefor campaign . Real justice is n't a conviction . It 's black ppl not being used for target practice . #Ferguson,2014-08-10 03:28:58,0
2635,663,498310720350863362,Please note Twitter had the #Ferguson story BEFORE ALL national news outlets . But keep telling me how Twitter does n't matter . :unamused_face:,2014-08-10 03:31:48,0
5229,3257,498311895716470784,"Nothing screams action like placing pressure on the head of the city , Mayor Knowles . Call or email him ! #Ferguson HTTPURL",2014-08-10 03:36:28,0
4171,2199,498313143530303488,"Witness : "" He threw his hands up and they shot him . The boy fell and they shot him some more . "" #Ferguson HTTPURL",2014-08-10 03:41:26,0
5078,3106,498314939359301632,"Trayvon Martin . Jordan Davis . Renisha McBride . Mike Brown . Our streets are stained with the blood of unarmed , black teens . #Ferguson",2014-08-10 03:48:34,0
5793,3821,498316475317239809,"Do n't tell a heartbroken community how to feel , what to say . Try listening to them instead . #Ferguson",2014-08-10 03:54:40,0
4984,3012,498316826988642304,"It 's incredibly upsetting hearing about the execution of children by the authorities in Iraq , Gaza , and Missouri . #MikeBrown #Ferguson",2014-08-10 03:56:04,0
1788,1788,498317138554150912,Michael Brown DID NOT STEAL ANYTHING ! ! ! It has just been reported that he did n't steal anything #FergusonShooting #Ferguson,2014-08-10 03:57:18,1
3347,1375,498317308771987456,Wonder how many breaking news reports there would be on national networks if a white unarmed teenager was shot + killed by police ? #Ferguson,2014-08-10 03:57:59,0
5555,3583,498318192000118784,Follow @USER NOW if you want to follow the story about the unarmed teenager who was killed by the #Ferguson police .,2014-08-10 04:01:29,0
4848,2876,498318493293772800,"Young black victims are killed twice in America ― once by gun , second by media . Let the victim be the victim this time . #Ferguson",2014-08-10 04:02:41,0
1760,1760,498320854707896321,Supposedly there might be one or two witnesses who have the shooting or part of the shooting recorded on their phones . #Ferguson,2014-08-10 04:12:04,1
2292,320,498321666267561985,"No matter what COLOR you are ... the murder by cop in #Ferguson is WRONG . Let 's stand together , do NOT let them divide us .",2014-08-10 04:15:18,0
3417,1445,498322865843109888,"White-privilege apologist internet trolls saying , "" Wait for details before you jump to conclusions . "" You need more details ? #Ferguson",2014-08-10 04:20:04,0
4859,2887,498323364197699584,The @USER reports on #Ferguson - HTTPURL HTTPURL,2014-08-10 04:22:03,0
3841,1869,498325055726559232,"High school graduation picture of Mike Brown . May he rest in peace , while we fight for his justice . #Ferguson HTTPURL",2014-08-10 04:28:46,0
5102,3130,498340530770939904,"#MikeBrown , left , is gunned down for WWB ( walking while black ) , but guy on the right can point a gun at cops #Ferguson HTTPURL",2014-08-10 05:30:15,0
1708,1708,498341675476217856,St . Louis : Unarmed teenager #MikeBrown was shot ten times by a #Ferguson police officer for accusation of shoplifting HTTPURL,2014-08-10 05:34:48,1
634,634,498345343629541376,Another account of what happened to #MikeBrown #JusticeForMikeBrown HTTPURL #STL #FERGUSON,2014-08-10 05:49:23,1
5384,3412,498349598197702656,"Police in #Ferguson , Missouri , shot and killed a 17 - year-old boy . HTTPURL",2014-08-10 06:06:17,0
2059,87,498355319979143168,People DEBATING whether #MikeBrown shoplifted or not - - IT DOESN'T MATTER.Shoplifting is n't punishable by DEATH IN THE STREET . #Ferguson,2014-08-10 06:29:01,0
4271,2299,498356729634390016,"Late reporting from #Ferguson : "" Unrest "" outside police station . When white people do it , it 's a "" vigil . "" HTTPURL",2014-08-10 06:34:38,0
3993,2021,498357910603575296,"If #Ferguson protesters were white , they 'd be walking away with several hundred cattle and an apology . HTTPURL #p2",2014-08-10 06:39:19,0
4316,2344,498401948585181184,"17 - yr-old unarmed black kid #MikeBrown was murdered by a cop in #Ferguson , Missouri yesterday . This is his stepdad : HTTPURL",2014-08-10 09:34:19,0
312,312,498430783699554305,Witness : Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk . #Ferguson HTTPURL,2014-08-10 11:28:53,1
5241,3269,498433651835940865,"I do n't want another bigot getting in my TL saying it 's not abt race , when 's the last time a white kid has been MURDERED by police #Ferguson",2014-08-10 11:40:17,0
4886,2914,498452658605535232,“ When will young people of color 's lives matter when they are alive ? ” - @USER #Ferguson HTTPURL,2014-08-10 12:55:49,0
3998,2026,498452664527511553,"The difference between "" unrest "" and "" patriotism "" is directly proportional to how black the protesters are . #Ferguson #Murrieta #BundyRanch",2014-08-10 12:55:50,0
5627,3655,498455001463664640,More coverage from Europe - HTTPURL #Ferguson #MikeBrown HTTPURL,2014-08-10 13:05:07,0
4704,2732,498457205801488385,"The black & unarmed group on the left is called an "" angry mob "" vs the armed white group called supporters #Ferguson HTTPURL",2014-08-10 13:13:53,0
1809,1809,498463591767756800,There was only one TV reporter at #Ferguson protests last night . Most left earlier fearing violence . Yet only violence was cop 's bullets !,2014-08-10 13:39:15,1
2984,1012,498463733447163905,"#Ferguson , MO is in protest after a cop kills an unarmed black teen : HTTPURL HTTPURL",2014-08-10 13:39:49,0
5163,3191,498466570675716096,"#Ferguson is why we need Civilian Review Boards . Anger , frustration & potential violence comes when ppl lack faith that they 'll get justice .",2014-08-10 13:51:06,0
2824,852,498472666802958336,Stewart drives over guy kills him . News is everywhere . Cops fire 10 bullets into unarmed black . Not even covered . Good job media . #Ferguson,2014-08-10 14:15:19,0
4212,2240,498473263862149120,Protestors outside #Ferguson police dept now HTTPURL,2014-08-10 14:17:41,0
3493,1521,498473515302260736,Teenager #MikeBrown wo n't start college on Monday because he was shot ten times by a #Ferguson police officer . HTTPURL,2014-08-10 14:18:41,0
2925,953,498474035668586497,"#MikeBrown 's mother : "" Police not telling us nothing , cause they have nothing to say . "" #Ferguson HTTPURL",2014-08-10 14:20:45,0
2426,454,498474263255330818,Amerika appears to be awash in all manner of #terrorism . Much of it state-sponsored . #Ferguson #MikeBrown #Racism #p2 HTTPURL,2014-08-10 14:21:40,0
3118,1146,498476761538371584,Outside #Ferguson Police Headquarters right now HTTPURL,2014-08-10 14:31:35,0
5365,3393,498477164380299264,"Follow @USER NOW if you want to follow the story about #MikeBrown , the unarmed teenager who was killed by the #Ferguson police .",2014-08-10 14:33:11,0
4398,2426,498477676219600896,There should be blame AND shame here . #Ferguson #MichaelBrown @USER HTTPURL,2014-08-10 14:35:13,0
3782,1810,498480344992350209,"Lots of people - - some prayerful , some sad , some angry - - have gathered outside the #Ferguson police headquarters HTTPURL",2014-08-10 14:45:50,0
1087,1087,498480911243948034,". @USER I demand that you retract the lie that #Ferguson people were shouting "" Kill the police "" . Reporters at scene have refuted that .",2014-08-10 14:48:05,1
5615,3643,498482619232055296,""" Do n't shoot ! Do n't shoot ! "" #ferguson HTTPURL",2014-08-10 14:54:52,0
5629,3657,498483031842500608,Police and protesters face to face in #Ferguson HTTPURL,2014-08-10 14:56:30,0
2574,602,498483279943962625,happening now in #ferguson HTTPURL,2014-08-10 14:57:29,0
3959,1987,498483485133516800,"The courage it takes to to write these words down , much less display them to the world #Ferguson #MikeBrown HTTPURL",2014-08-10 14:58:18,0
4724,2752,498483784296448000,Protestors have crossed the police line in #Ferguson HTTPURL,2014-08-10 14:59:30,0
2797,825,498486539585069056,Protestors have packed the lobby of the #Ferguson police headquarters . Not being let into the press confere ... HTTPURL,2014-08-10 15:10:27,0
752,752,498486826269548545,". @USER I demand you retract the lie that people in #Ferguson were shouting "" kill the police "" , local reporting has refuted your ugly racism",2014-08-10 15:11:35,1
5059,3087,498486850521423872,""" Do n't shoot ! Do n't shoot ! "" #ferguson HTTPURL",2014-08-10 15:11:41,0
1990,18,498487087105314816,Live from #Ferguson HTTPURL,2014-08-10 15:12:37,0
4888,2916,498487611963744256,Press conference is over . Important to note : NO mention of #MikeBrown stealing ANYTHING from ANY store . #Ferguson HTTPURL,2014-08-10 15:14:42,0
3838,1866,498487999848800256,""" Our problem is not with Hamas . Our problem is not in Iraq . Our problem is in #Ferguson ! "" - Anthony Shahid HTTPURL",2014-08-10 15:16:15,0
4619,2647,498488195047096320,#Ferguson Police Chief said only one word during entire press conference . Question : Is officer is still being paid ? Answer : Yes .,2014-08-10 15:17:01,0
4937,2965,498489114384420865,Whenever you want to justify shooting an unarmed person you always say they reached for your gun . George Zimmerman taught us that #Ferguson,2014-08-10 15:20:41,0
4742,2770,498489451954573312,Powerful video of protestors w / hands up mocking #Ferguson police . Video via @USER #MikeBrown HTTPURL,2014-08-10 15:22:01,0
3940,1968,498491047329402880,Protest in #Ferguson . The police dogs are visible again . HTTPURL,2014-08-10 15:28:21,0
4585,2613,498492003903356928,"The presence of police dogs in #Ferguson is , at the very least , culturally and historically insensitive .",2014-08-10 15:32:09,0
3528,1556,498492636630896640,Lots of angry mothers here in #Ferguson this morning . HTTPURL,2014-08-10 15:34:40,0
4571,2599,498494758814109696,WE DEMAND THAT POLICE STAY AWAY FROM US WITHOUT WEARING CAMERAS FOR OUR PROTECTION ! #mikebrown #Ferguson HTTPURL,2014-08-10 15:43:06,0
3582,1610,498495764486950912,* church fan * RT @USER : Where 's the #NRA 's call for blacks to arm themselves against the police ? #MikeBrown #Ferguson,2014-08-10 15:47:06,0
3502,1530,498497371899449344,Still conflicting reports about death of the witness . Police say it 's not true . Tempers are rising here in #Ferguson HTTPURL,2014-08-10 15:53:29,0
2560,588,498497395198799872,"#Ferguson , Missouri Community Furious After Teen Shot Dead By Police HTTPURL",2014-08-10 15:53:35,0
591,591,498498431271190528,I 'd be more inclined to take the #Ferguson PD account seriously if they had n't been so careful to confiscate all video evidence beforehand .,2014-08-10 15:57:42,1
3413,1441,498499795192143872,Not sure what the #Anonymous message to #Ferguson is going to be exactly but you can count on one.Support @USER,2014-08-10 16:03:07,0
4739,2767,498499836900278272,"No Skittles , Arizona Iced Tea , Cops On Scene . Another Black Teen Dead . Whats Their Excuse Now ? . #Ferguson #MikeBrown HTTPURL",2014-08-10 16:03:17,0
4023,2051,498500813845966848,Hello fellow white people . Lets try to show as much outrage for #Ferguson as we did for Facebook messenger .,2014-08-10 16:07:10,0
5114,3142,498504673339666432,This would help tremendously . #mikebrown #Ferguson HTTPURL,2014-08-10 16:22:30,0
5219,3247,498504707393220608,The protest is turning into a memorial and moving from the #Ferguson Police HQ to the street where #MikeBrown was killed .,2014-08-10 16:22:38,0
867,867,498506343368519680,"So last week NYPD tried to tell us that #EricGarner was n't in a chokehold , now #Ferguson police telling us #MikeBrown assaulted the officer",2014-08-10 16:29:08,1
3175,1203,498507434693246977,RT @USER : The sad truth RT @USER : This would help tremendously . #mikebrown #Ferguson HTTPURL,2014-08-10 16:33:28,0
4143,2171,498507730395484160,The shooting in #Ferguson highlights why the federal government should be underwriting body cams for all cops rather than military gear .,2014-08-10 16:34:39,0
3531,1559,498508707244683264,So #Ferguson police want me to believe #MikeBrown tried to get into a police car and wrestle the officer 's gun away . I 'm gonna need video .,2014-08-10 16:38:32,0
2974,1002,498510381774819330,#Ferguson #BundyRanch #Hypocrisy / H / T to @USER for the images . HTTPURL,2014-08-10 16:45:11,0
2512,540,498512372584415232,""" Hands up ! "" in #Ferguson HTTPURL",2014-08-10 16:53:06,0
5512,3540,498512590260023296,Every Black person should drill this in their heads : we are in Jim Crow 2.0 .. and the new lynch mobs and KKK members ARE THE POLICE #Ferguson,2014-08-10 16:53:58,0
4575,2603,498515980205948928,How police treat white #opencarry supporter vs an unarmed black teen . Wonder why ? #MikeBrown #Ferguson HTTPURL,2014-08-10 17:07:26,0
3013,1041,498524570593140736,Vigil for shooting victim Mike Brown will be held at 8p m Sunday at Canfield Green apartment complex in #Ferguson,2014-08-10 17:41:34,0
4136,2164,498527404386578432,Nothing has changed . The ONLY difference ? The pictures are in color . #Ferguson #FergusonShooting HTTPURL,2014-08-10 17:52:50,0
5069,3097,498529979672842241,"#MikeBrown 's tragic death is n't a #Ferguson problem or a #Missouri problem , it 's an American problem .. HTTPURL",2014-08-10 18:03:04,0
4530,2558,498530293116968960,Notice how they bring out the attack dogs ? #FergusonShooting #Ferguson #FergusonPolice HTTPURL,2014-08-10 18:04:18,0
2506,534,498530904139378688,""" Do n't shoot ! Do n't shoot ! "" #ferguson HTTPURL",2014-08-10 18:06:44,0
2713,741,498530946338258944,When Parenting Feels Like a Fool 's Errand : On the Death of Michael Brown : HTTPURL #MikeBrown #Ferguson HTTPURL,2014-08-10 18:06:54,0
4854,2882,498531639472189441,#Ferguson v #Bundy : Black jaywalking teen shot & killed by cops . White trespassig rancher 's militia aim guns at cops . HTTPURL,2014-08-10 18:09:39,0
3460,1488,498532911143206913,""" Do n't shoot ! Do n't shoot ! "" #ferguson HTTPURL",2014-08-10 18:14:42,0
4836,2864,498535462349582337,When 's the last time a white kid was unjustly killed by law enforcement ? Just spread the word HTTPURL #MikeBrown #Ferguson,2014-08-10 18:24:51,0
2276,304,498541831052083201,Let 's get these cameras on cops everywhere #Ferguson HTTPURL,2014-08-10 18:50:09,0
4447,2475,498544167757570049,There 's cameras on every corner of the hood . Let 's out cameras on every cop . What do you have to hide ? #Ferguson HTTPURL,2014-08-10 18:59:26,0
